Partition,Malicious clients,Breast Cancer: Accuracy (%),Breast Cancer: Drop (pp),Digits: Accuracy (%),Digits: Drop (pp),Wine: Accuracy (%),Wine: Drop (pp)
IID,0%,97.4 ± 1.4,0.0 ± 0.0,95.9 ± 0.5,0.0 ± 0.0,99.4 ± 1.2,0.0 ± 0.0
IID,10%,96.0 ± 1.3,1.4 ± 1.0,95.4 ± 0.8,0.5 ± 0.8,97.8 ± 1.2,1.7 ± 1.5
IID,20%,95.8 ± 1.1,1.6 ± 1.3,93.9 ± 0.7,1.9 ± 0.7,95.0 ± 5.0,4.4 ± 5.0
IID,30%,94.6 ± 1.0,2.8 ± 1.1,92.6 ± 1.2,3.3 ± 1.4,90.0 ± 5.0,9.4 ± 4.2
IID,40%,84.4 ± 4.6,13.0 ± 5.4,91.0 ± 1.6,4.9 ± 1.6,88.3 ± 6.6,11.1 ± 6.5
IID,50%,52.5 ± 7.6,44.9 ± 8.5,87.7 ± 1.5,8.2 ± 1.6,70.6 ± 7.8,28.9 ± 7.2
non-IID,0%,96.0 ± 2.5,0.0 ± 0.0,96.4 ± 0.4,0.0 ± 0.0,98.9 ± 1.5,0.0 ± 0.0
non-IID,10%,94.7 ± 2.7,1.2 ± 2.8,95.8 ± 0.8,0.6 ± 0.5,98.9 ± 1.5,0.0 ± 0.0
non-IID,20%,78.6 ± 22.5,17.4 ± 24.4,90.6 ± 4.6,5.8 ± 4.9,97.8 ± 1.2,1.1 ± 1.5
non-IID,30%,69.8 ± 23.5,26.1 ± 25.3,86.5 ± 3.5,9.9 ± 3.7,83.3 ± 16.1,15.6 ± 14.9
non-IID,40%,52.6 ± 35.5,43.3 ± 37.7,81.2 ± 8.3,15.2 ± 8.1,81.7 ± 17.9,17.2 ± 16.7
non-IID,50%,40.9 ± 31.8,55.1 ± 33.7,76.6 ± 9.1,19.8 ± 8.8,63.3 ± 17.3,35.6 ± 17.1
